time,trajectories1,trajectories2
56.999,1117.767,1815.116
57.066,1036.810,1885.582
57.133,878.540,1847.483
57.199,748.847,1858.910
57.266,605.688,1799.442
57.333,433.050,1724.750
57.399,356.797,1682.675
57.466,411.322,1587.233
57.533,343.639,1504.149
57.599,338.591,1427.682
57.666,323.070,1379.354
57.733,242.964,1273.619
57.799,193.520,1198.884
57.866,146.993,1084.497
57.933,153.384,996.348
57.999,96.753,872.010
58.066,245.932,852.486
58.133,286.093,838.016
58.199,337.341,833.778
58.266,404.870,892.837
58.333,417.251,921.815
58.399,405.054,988.810
58.466,444.442,1039.115
58.533,509.086,1134.489
58.599,607.114,1223.915
58.666,700.334,1266.315
58.733,860.669,1327.056
58.799,1009.076,1463.145
58.866,1120.723,1592.174
58.933,1110.258,1750.813
58.999,1155.636,1827.913
59.066,1026.160,1857.227
59.133,940.035,1909.134
59.199,1043.367,1881.191
59.266,1098.814,1855.614
59.333,1190.922,1933.274
59.399,1328.066,1903.243
59.466,1354.303,1819.518
59.533,1474.837,1779.766
59.599,1562.042,1763.922
59.666,1613.500,1767.046
59.733,1625.388,1658.546
59.799,1534.974,1553.072
59.866,1457.853,1425.118
